Month,1994,  1995,1996,  1997,  1998,  1999,  2000,  2001,  2002,  2003,  2004,  2005,  2006,  2007,  2008,  2009,  2010,  2011,  2012,  2013
Jan,1,1.13,1.14,1.28,1.13,0.98,1.33,1.49,1.15,1.5,1.61,1.88,2.36,2.29,3.1,1.84,2.77,3.15,3.44,3.39
Feb,1.01,1.12,1.14,1.28,1.1,0.96,1.42,1.49,1.16,1.66,1.69,1.95,2.33,2.32,3.08,1.98,2.7,3.26,3.64,3.74
Mar,1.01,1.12,1.18,1.25,1.06,1.02,1.56,1.45,1.29,1.73,1.78,2.12,2.47,2.61,3.29,2.01,2.82,3.62,3.91,3.78
Apr,1.03,1.16,1.28,1.24,1.08,1.17,1.51,1.59,1.44,1.63,1.84,2.29,2.79,2.89,3.51,2.1,2.9,3.85,3.96,3.64
May,1.05,1.23,1.32,1.25,1.11,1.17,1.53,1.74,1.43,1.54,2.02,2.21,2.95,3.19,3.82,2.32,2.89,3.96,3.79,3.68
Jun,1.08,1.24,1.3,1.24,1.1,1.15,1.67,1.66,1.42,1.53,2.01,2.2,2.93,3.1,4.11,2.68,2.79,3.74,3.6,3.69
Jul,1.11,1.2,1.27,1.22,1.09,1.2,1.59,1.47,1.44,1.55,1.95,2.33,3.03,3.01,4.11,2.58,2.78,3.71,3.5,3.66
Aug,1.16,1.17,1.25,1.27,1.07,1.26,1.51,1.46,1.44,1.66,1.92,2.53,3,2.83,3.83,2.67,2.78,3.7,3.78,3.65
Sep,1.14,1.16,1.25,1.28,1.05,1.3,1.59,1.56,1.44,1.72,1.91,2.95,2.61,2.85,3.76,2.61,2.76,3.67,3.91,3.6
Oct,1.11,1.13,1.25,1.24,1.06,1.29,1.57,1.36,1.49,1.61,2.04,2.77,2.29,2.85,3.11,2.61,2.85,3.51,3.81,3.42
Nov,1.12,1.11,1.28,1.22,1.04,1.29,1.56,1.21,1.46,1.56,2.02,2.3,2.28,3.13,2.21,2.71,2.91,3.44,3.52,3.32
Dec,1.13,1.12,1.28,1.18,0.99,1.31,1.48,1.13,1.43,1.52,1.89,2.23,2.36,3.07,1.75,2.66,3.05,3.33,3.38,3.36
